dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.75,0.75,1,4
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.8,0.8,1,5
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.75,0.75,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.57142854,0.57142854,1,7
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.75,0.75,1,4
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.6,0.6,1,5
0.75,0.75,2,4
1.0,1.0,2,3
0.6,0.6,2,5
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.6,0.6,2,5
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,2
0.4285714,0.4285714,2,7
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
0.6,0.6,2,5
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.6,0.6,2,5
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,2
0.75,0.75,2,4
0.6,0.6,2,5
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,2
1.0,1.0,2,3
0.6,0.6,2,5
1.0,1.0,2,3
1.0,1.0,2,3
0.8,0.8,2,5
0.6,0.6,2,5
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
0.6,0.6,2,5
0.75,0.75,2,4
0.75,0.75,2,4
0.5,0.5,2,6
1.0,1.0,2,3
0.6,0.6,2,5
1.0,1.0,2,3
0.6,0.6,2,5
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.8,0.8,2,5
0.75,0.75,2,4
0.75,0.75,2,4
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
0.75,0.75,2,4
0.5,0.5,2,6
