dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
1.0,1.0,4,7
0.6666666,0.6666666,5,9
0.6666666,0.6666666,5,9
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
0.6666666,0.6666666,5,9
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
0.6666666,0.6666666,5,9
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
0.8,0.8,5,10
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
0.6153846,0.6153846,5,13
0.71428573,0.71428573,5,7
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
0.6666666,0.6666666,5,9
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
0.5,0.5,5,5
1.0,1.0,5,6
1.0,1.0,5,6
0.6666666,0.6666666,5,9
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
0.6666666,0.6666666,5,9
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
0.6,0.6,5,10
0.6666666,0.6666666,5,9
0.6666666,0.6666666,5,9
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,5,6
1.0,1.0,6,8
1.0,1.0,6,8
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,8
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,8
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
0.7777778,0.7777778,6,9
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
0.5833334,0.6666666,6,12
0.6666666,0.6666666,6,6
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,8
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
0.39999998,0.39999998,6,4
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,8
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,8
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
0.5555556,0.5555556,6,9
0.625,0.625,6,8
0.625,0.625,6,8
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
1.0,1.0,6,5
